,date,keywords,lat,lng
245,2019-03-26 10:20:50,boylesque night performer shu next open start hp,34.6737039,135.5026856
246,2017-11-09 20:29:11,behind scenes ny boylesque festival kick party,40.72535415,-73.98340613
247,2019-06-06 04:09:09,houseofyesnyc amateur pride burlesque show got included boylesque act video evidence know house yes,40.70683897,-73.92358371
248,2018-08-21 03:07:15,wednesday gentlemansclubto boylesque humpday bump n grind cherrycolastoronto mc performer showtime,43.6477999,-79.40447
249,2017-02-15 10:03:01,boogie time sailor mister punch boylesque thanks luc genevaburlesquefestival,46.19398753,6.14346027
250,2019-04-11 14:44:52,dick move away long dick move returns stonewall stage new homo erectus boylesque join us saturday april doors,40.73379,-74.00215
251,2018-09-02 21:21:42,give devoted fans deserve feel coming theweeknd feat daftpunk one favourite boylesque acts perform one soo much fun last sunday,43.65276,-79.4016
252,2016-02-09 04:39:41,auditioned new boylesque troupe made cut first gig starts,30.2955093,-97.7417374
253,2018-02-25 00:11:16,vintage modern classic comic enjoy burlesque boylesque variety award winning clocktower clockettes hosted famous mustachioed emcee naughty pierre saturday nights p must,39.7480987,-104.9956871
254,2018-11-24 02:17:01,tomorrow final boylesque show incredible close big catch male brunch show breakfast sausage,34.01158,-118.49227
